school_code,school_name,is_private_center,region,gpa,grade,passed_candidates,regist,absent,sat,withheld,no-ca,clean,div_i,div_ii,div_iii,div_iv,div_0,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO
p1093,ALDERGATE SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p6262,ALFA OPEN SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p3914,ALFAGEMS SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p1343,ANNE MARIE SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p4071,AGGREY CHANJI SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p0493,AL-HARAMAIN SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p1257,ARAFAH ISLAMIC SEMINARY CENTRE,True,,,,,,,,,,,,,,,,,,
p1623,AGGREY SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p0740,ALI HASSAN MWINYI SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p4007,AGUSTIVO SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p0302,ARUSHA SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p2378,AIRPORT SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p0301,AIRWING J.W.T.Z. CENTRE,True,,,,,,,,,,,,,,,,,,
p0101,AZANIA SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p1600,BISHOP DURNING SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p0351,BAGAMOYO SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p0600,BUNDA SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p0632,BONDENI SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p0797,BUNDA TEACHERS' COLLEGE CENTRE,True,,,,,,,,,,,,,,,,,,
