school_code,school_name,is_private_center,region,gpa,grade,passed_candidates,regist,absent,sat,withheld,no-ca,clean,div_i,div_ii,div_iii,div_iv,div_0,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO
s3470,ABBEY SECONDARY SCHOOL,False,MTWARA,2.6563,,32.0,32.0,0.0,32.0,0.0,0.0,32.0,10.0,18.0,4.0,0.0,0.0,460,40,12:1
s1033,AMANI ABEID KARUME SECONDARY SCHOOL,False,DODOMA,3.0847,,120.0,122.0,2.0,120.0,0.0,0.0,120.0,16.0,61.0,42.0,1.0,0.0,,,
s5394,ABDULRAHIM BUSOKA SECONDARY SCHOOL,False,SHINYANGA,2.3494,,166.0,166.0,0.0,166.0,0.0,0.0,166.0,86.0,74.0,6.0,0.0,0.0,,,
s1093,ALDERSGATE SECONDARY SCHOOL,False,MANYARA,2.6417,,107.0,109.0,2.0,107.0,0.0,0.0,107.0,29.0,70.0,8.0,0.0,0.0,,,
s3861,ANDERLEK  RIDGES SECONDARY SCHOOL,False,SHINYANGA,3.2619,,7.0,7.0,0.0,7.0,0.0,0.0,7.0,1.0,2.0,4.0,0.0,0.0,,,
s6010,ABOUD JUMBE MWINYI SECONDARY SCHOOL,False,MJINI MAGHARIBI,2.4444,,63.0,64.0,1.0,63.0,0.0,0.0,63.0,29.0,30.0,4.0,0.0,0.0,,,
s3691,ANNA MKAPA SECONDARY SCHOOL,False,KILIMANJARO,2.5896,,80.0,80.0,0.0,80.0,0.0,0.0,80.0,28.0,44.0,8.0,0.0,0.0,,,
s1659,ABOUD JUMBE SECONDARY SCHOOL,False,DAR ES SALAAM,2.4882,,113.0,113.0,0.0,113.0,0.0,0.0,113.0,49.0,53.0,11.0,0.0,0.0,,,
s3914,ALFAGEMS SECONDARY SCHOOL,False,MOROGORO,2.9737,,374.0,389.0,0.0,389.0,15.0,0.0,374.0,54.0,221.0,97.0,2.0,0.0,3500,100,35:1
s1822,ANNAGAMAZO SECONDARY SCHOOL,False,ARUSHA,2.4323,,32.0,32.0,0.0,32.0,0.0,0.0,32.0,17.0,11.0,4.0,0.0,0.0,,,
s3532,ACACIA SECONDARY SCHOOL,False,PWANI,2.5484,,31.0,31.0,0.0,31.0,0.0,0.0,31.0,12.0,16.0,3.0,0.0,0.0,400,30,13:1
s1343,ANNE MARIE SECONDARY SCHOOL,False,DAR ES SALAAM,2.7504,,193.0,195.0,2.0,193.0,0.0,0.0,193.0,44.0,120.0,29.0,0.0,0.0,Not Available,Not Available,Not Available
s4502,AFRICAN TABATA HIGH SCHOOL,False,DAR ES SALAAM,3.6546,,83.0,97.0,1.0,96.0,11.0,2.0,83.0,2.0,20.0,59.0,2.0,0.0,300,30,10:1
s0182,AL-FAROUQ SEMINARY,False,DAR ES SALAAM,3.0101,,33.0,34.0,1.0,33.0,0.0,0.0,33.0,7.0,14.0,11.0,1.0,0.0,170,19,9:1
s0184,AGAPE LUTHERAN JUNIOR SEMINARY,False,KILIMANJARO,1.6222,,30.0,31.0,1.0,30.0,0.0,0.0,30.0,29.0,1.0,0.0,0.0,0.0,500,30,17:1
s4217,ALGEBRA ISLAMIC SEMINARY,False,DAR ES SALAAM,3.381,,21.0,21.0,0.0,21.0,0.0,0.0,21.0,0.0,10.0,11.0,0.0,0.0,500,30,17:1
s2153,AQUINAS SECONDARY SCHOOL,False,MTWARA,2.8333,,29.0,29.0,0.0,29.0,0.0,0.0,29.0,6.0,16.0,7.0,0.0,0.0,300,12,25:1
s4071,AGGREY CHANJI SECONDARY SCHOOL,False,RUKWA,3.0036,,46.0,46.0,0.0,46.0,0.0,0.0,46.0,4.0,30.0,12.0,0.0,0.0,,,
s0493,AL-HARAMAIN ISLAMIC SEMINARY,False,DAR ES SALAAM,3.0686,,33.0,41.0,1.0,40.0,6.0,0.0,34.0,3.0,24.0,5.0,1.0,1.0,Not Available,Not Available,Not Available
s1257,ARAFAH ISLAMIC SEMINARY,False,TANGA,2.5737,,52.0,53.0,1.0,52.0,0.0,0.0,52.0,16.0,32.0,4.0,0.0,0.0,,,
s1623,AGGREY SECONDARY SCHOOL,False,MBEYA,3.1852,,9.0,10.0,1.0,9.0,0.0,0.0,9.0,1.0,4.0,4.0,0.0,0.0,,,
s0740,ALI HASSAN MWINYI ISLAMIC SECONDARY SCHOOL,False,TABORA,2.8988,,107.0,121.0,6.0,115.0,8.0,0.0,107.0,17.0,72.0,17.0,1.0,0.0,,,
s5260,ARUSHA GIRLS' SECONDARY SCHOOL,False,ARUSHA,2.5275,,103.0,103.0,0.0,103.0,0.0,0.0,103.0,44.0,43.0,16.0,0.0,0.0,,,
s5933,ALI HASSAN MWINYI SECONDARY SCHOOL,False,MJINI MAGHARIBI,2.9559,,68.0,70.0,2.0,68.0,0.0,0.0,68.0,9.0,43.0,16.0,0.0,0.0,,,
s5953,ARUSHA SCIENCE SECONDARY SCHOOL,False,ARUSHA,2.584,,121.0,122.0,1.0,121.0,0.0,0.0,121.0,45.0,55.0,21.0,0.0,0.0,,,
s4007,AGUSTIVO SECONDARY SCHOOL,False,RUVUMA,2.3596,,38.0,38.0,0.0,38.0,0.0,0.0,38.0,19.0,17.0,2.0,0.0,0.0,370,25,15:1
s0302,ARUSHA SECONDARY SCHOOL,False,ARUSHA,2.5266,,169.0,169.0,0.0,169.0,0.0,0.0,169.0,68.0,90.0,11.0,0.0,0.0,,,
s0272,AL-IHSAN GIRLS' SECONDARY SCHOOL,False,MJINI MAGHARIBI,2.3931,,53.0,54.0,1.0,53.0,0.0,0.0,53.0,26.0,25.0,2.0,0.0,0.0,,,
s3881,AHMES SECONDARY SCHOOL,False,PWANI,1.2891,,132.0,132.0,0.0,132.0,0.0,0.0,132.0,132.0,0.0,0.0,0.0,0.0,210,20,11:1
s0252,AL-KHEIR ISLAMIC GIRLS' SEMINARY,False,TANGA,2.9433,,47.0,47.0,0.0,47.0,0.0,0.0,47.0,9.0,23.0,15.0,0.0,0.0,,,
s1519,ARUSHA TURKISH MAARIF SECONDARY SCHOOL,False,ARUSHA,3.1481,,18.0,18.0,0.0,18.0,0.0,0.0,18.0,4.0,5.0,8.0,1.0,0.0,144,12,12:1
s0198,AILANGA LUTHERAN JUNIOR SEMINARY,False,ARUSHA,2.8519,,9.0,9.0,0.0,9.0,0.0,0.0,9.0,2.0,5.0,2.0,0.0,0.0,,,
s4645,ALLIANCE BOYS' SECONDARY SCHOOL,False,MWANZA,2.7833,,10.0,10.0,0.0,10.0,0.0,0.0,10.0,3.0,4.0,3.0,0.0,0.0,466,35,13:1
