school_code,school_name,is_private_center,region,gpa,grade,passed_candidates,regist,absent,sat,withheld,no-ca,clean,div_i,div_ii,div_iii,div_iv,div_0,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO
s3470,ABBEY SECONDARY SCHOOL,False,MTWARA,2.8788,,11.0,11.0,0.0,11.0,0.0,0.0,11.0,1.0,9.0,1.0,0.0,0.0,460,40,12:1
s0784,AIRWING SECONDARY SCHOOL,False,DAR ES SALAAM,2.8927,,87.0,97.0,0.0,97.0,10.0,0.0,87.0,16.0,49.0,22.0,0.0,0.0,1250,80,16:1
s1682,AL-RIYAMI ACADEMY SECONDARY SCHOOL,False,MJINI MAGHARIBI,3.5889,,15.0,15.0,0.0,15.0,0.0,0.0,15.0,0.0,5.0,10.0,0.0,0.0,,,
s5394,ABDULRAHIM BUSOKA SECONDARY SCHOOL,False,SHINYANGA,2.2356,,133.0,134.0,1.0,133.0,0.0,0.0,133.0,81.0,47.0,5.0,0.0,0.0,,,
p1093,ALDERGATE SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s1463,AMANAH ISLAMIC SEMINARY,False,MTWARA,2.545,,63.0,64.0,1.0,63.0,0.0,0.0,63.0,21.0,39.0,3.0,0.0,0.0,,,
s5932,ABEID AMANI KARUME SECONDARY SCHOOL,False,MJINI MAGHARIBI,2.6828,,31.0,32.0,1.0,31.0,0.0,0.0,31.0,6.0,24.0,1.0,0.0,0.0,,,
s1093,ALDERSGATE SECONDARY SCHOOL,False,MANYARA,2.7285,,97.0,101.0,3.0,98.0,0.0,1.0,97.0,20.0,64.0,13.0,0.0,0.0,,,
s1033,AMANI ABEID KARUME SECONDARY SCHOOL,False,DODOMA,2.7686,,85.0,85.0,0.0,85.0,0.0,0.0,85.0,23.0,47.0,15.0,0.0,0.0,,,
s6010,ABOUD JUMBE MWINYI SECONDARY SCHOOL,False,MJINI MAGHARIBI,2.6429,,77.0,77.0,0.0,77.0,0.0,0.0,77.0,22.0,48.0,7.0,0.0,0.0,,,
p6262,ALFA OPEN SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s3691,ANNA MKAPA SECONDARY SCHOOL,False,KILIMANJARO,2.7024,,42.0,42.0,0.0,42.0,0.0,0.0,42.0,14.0,19.0,9.0,0.0,0.0,,,
s1659,ABOUD JUMBE SECONDARY SCHOOL,False,DAR ES SALAAM,2.1414,,79.0,79.0,0.0,79.0,0.0,0.0,79.0,52.0,26.0,1.0,0.0,0.0,,,
s3914,ALFAGEMS SECONDARY SCHOOL,False,MOROGORO,3.0131,,292.0,299.0,2.0,297.0,5.0,0.0,292.0,43.0,160.0,89.0,0.0,0.0,3500,100,35:1
s1822,ANNAGAMAZO SECONDARY SCHOOL,False,ARUSHA,3.0078,,43.0,43.0,0.0,43.0,0.0,0.0,43.0,6.0,24.0,13.0,0.0,0.0,,,
s3532,ACACIA SECONDARY SCHOOL,False,PWANI,2.3796,,36.0,37.0,0.0,37.0,1.0,0.0,36.0,18.0,13.0,5.0,0.0,0.0,400,30,13:1
p3914,ALFAGEMS SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s1343,ANNE MARIE SECONDARY SCHOOL,False,DAR ES SALAAM,2.6581,,155.0,155.0,0.0,155.0,0.0,0.0,155.0,48.0,83.0,24.0,0.0,0.0,Not Available,Not Available,Not Available
p3532,ACACIA SECONDARY SCHOOL CENTREDIV-I = 0;  DIV-II = 0;  DIV-III = 1;  DIV-IV = 0;  DIV-0 = 0,True,,,,,,,,,,,,,,,,,,
s0182,AL-FAROUQ SEMINARY,False,DAR ES SALAAM,3.0513,,13.0,13.0,0.0,13.0,0.0,0.0,13.0,3.0,5.0,5.0,0.0,0.0,170,19,9:1
p1343,ANNE MARIE SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s4848,AFRICAN RAINBOW SECONDARY SCHOOL,False,RUKWA,2.7381,,14.0,16.0,1.0,15.0,1.0,0.0,14.0,3.0,9.0,2.0,0.0,0.0,,,
s4217,ALGEBRA ISLAMIC SEMINARY,False,DAR ES SALAAM,2.6296,,27.0,27.0,0.0,27.0,0.0,0.0,27.0,10.0,12.0,5.0,0.0,0.0,500,30,17:1
s0187,AN-NOOR ISLAMIC BOYS SEMINARY,False,TANGA,2.4394,,22.0,22.0,0.0,22.0,0.0,0.0,22.0,10.0,10.0,2.0,0.0,0.0,,,
s4502,AFRICAN TABATA HIGH SCHOOL,False,DAR ES SALAAM,3.2083,,28.0,30.0,1.0,29.0,1.0,0.0,28.0,2.0,14.0,12.0,0.0,0.0,300,30,10:1
s0493,AL-HARAMAIN ISLAMIC SEMINARY,False,DAR ES SALAAM,2.9167,,30.0,30.0,0.0,30.0,0.0,0.0,30.0,7.0,15.0,8.0,0.0,0.0,Not Available,Not Available,Not Available
s2153,AQUINAS SECONDARY SCHOOL,False,MTWARA,2.4008,,42.0,42.0,0.0,42.0,0.0,0.0,42.0,19.0,21.0,2.0,0.0,0.0,300,12,25:1
s0184,AGAPE LUTHERAN JUNIOR SEMINARY,False,KILIMANJARO,2.0373,,76.0,76.0,0.0,76.0,0.0,0.0,76.0,55.0,21.0,0.0,0.0,0.0,500,30,17:1
p0493,AL-HARAMAIN SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s1257,ARAFAH ISLAMIC SEMINARY,False,TANGA,2.777,,68.0,68.0,0.0,68.0,0.0,0.0,68.0,23.0,30.0,15.0,0.0,0.0,,,
s1523,AGAPE MBAGALA SECONDARY SCHOOL,False,DAR ES SALAAM,3.2917,,4.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,600,45,13:1
s0740,ALI HASSAN MWINYI ISLAMIC SECONDARY SCHOOL,False,TABORA,2.8372,,86.0,126.0,14.0,112.0,26.0,0.0,86.0,12.0,61.0,13.0,0.0,0.0,,,
p1257,ARAFAH ISLAMIC SEMINARY CENTRE,True,,,,,,,,,,,,,,,,,,
s4071,AGGREY CHANJI SECONDARY SCHOOL,False,RUKWA,2.7167,,20.0,20.0,0.0,20.0,0.0,0.0,20.0,4.0,15.0,1.0,0.0,0.0,,,
s5933,ALI HASSAN MWINYI SECONDARY SCHOOL,False,MJINI MAGHARIBI,2.4217,,66.0,69.0,3.0,66.0,0.0,0.0,66.0,30.0,34.0,2.0,0.0,0.0,,,
s5260,ARUSHA GIRLS' SECONDARY SCHOOL,False,ARUSHA,2.2975,,107.0,107.0,0.0,107.0,0.0,0.0,107.0,63.0,34.0,10.0,0.0,0.0,,,
p4071,AGGREY CHANJI SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p0740,ALI HASSAN MWINYI SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s5953,ARUSHA SCIENCE SECONDARY SCHOOL,False,ARUSHA,2.733,,93.0,93.0,0.0,93.0,0.0,0.0,93.0,29.0,45.0,18.0,1.0,0.0,,,
s1623,AGGREY SECONDARY SCHOOL,False,MBEYA,2.9242,,11.0,11.0,0.0,11.0,0.0,0.0,11.0,1.0,8.0,2.0,0.0,0.0,,,
s5537,ALI KHAMIS CAMP SECONDARY SCHOOL,False,KUSINI PEMBA,2.7222,,12.0,12.0,0.0,12.0,0.0,0.0,12.0,3.0,7.0,2.0,0.0,0.0,,,
s0302,ARUSHA SECONDARY SCHOOL,False,ARUSHA,2.4477,,137.0,137.0,0.0,137.0,0.0,0.0,137.0,65.0,60.0,12.0,0.0,0.0,,,
