school_code,prev_sat,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,prev_gpa,gpa,sat,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO,student_teacher_ratio
s0101,196.0,GOVERNMENT,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,2.7577,3.0222,158.0,1515.0,80.0,19:1,18.9375
s0103,467.0,,,,,,2.7099,2.8265,389.0,,,,
s0104,131.0,,,,,,2.7455,2.4112,122.0,,,,
s0105,169.0,,,,,,2.1617,2.3932,220.0,,,,
s0106,8.0,,,,,,2.7917,2.5,4.0,,,,
s0108,280.0,GOVERNMENT,BOYS AND GIRLS,BOARDING,SCIENCE,COMBINED OA,2.7375,2.7662,390.0,1000.0,80.0,13:1,12.5
s0109,596.0,,,,,,2.3356,2.2966,588.0,,,,
s0110,183.0,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,1.6548,1.5956,163.0,730.0,60.0,12:1,12.166666666666666
s0111,7.0,,,,,,3.381,2.4314,17.0,,,,
s0112,194.0,,,,,,2.7706,2.7829,210.0,,,,
s0113,22.0,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,2.7576,2.7544,19.0,300.0,30.0,10:1,10.0
s0114,15.0,,,,,,2.6889,2.8056,12.0,,,,
s0115,303.0,,,,,,2.3421,2.4692,396.0,,,,
s0116,199.0,,,,,,2.6265,2.4365,161.0,,,,
s0117,6.0,,,,,,3.0833,3.6019,18.0,,,,
s0118,10.0,,,,,,2.0667,2.5833,6.0,,,,
s0119,183.0,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,1.6384,1.4167,162.0,820.0,70.0,12:1,11.714285714285714
s0120,463.0,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,2.4669,2.5287,535.0,900.0,30.0,30:1,30.0
s0121,23.0,,,,,,2.4565,2.8417,20.0,,,,
s0123,311.0,,,,,,1.9871,1.8239,319.0,,,,
s0124,6.0,,,,,,2.8056,3.2222,3.0,,,,
s0125,441.0,,,,,,2.4607,2.1764,431.0,,,,
s0128,168.0,,,,,,2.1171,2.3785,203.0,,,,
s0129,315.0,,,,,,2.4963,2.5565,363.0,,,,
s0130,36.0,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,2.2593,1.8509,57.0,300.0,30.0,10:1,10.0
s0132,385.0,,,,,,2.6355,2.4876,337.0,,,,
s0133,342.0,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,2.5699,2.3275,402.0,800.0,40.0,20:1,20.0
s0134,239.0,,,,,,2.2957,2.8205,208.0,,,,
s0135,240.0,,,,,,2.6299,2.421,234.0,,,,
s0136,235.0,,,,,,2.0184,2.0875,280.0,,,,
s0138,163.0,,,,,,2.6554,2.3747,149.0,,,,
s0139,194.0,,,,,,2.543,2.5998,192.0,,,,
s0140,133.0,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,1.4749,1.3657,170.0,660.0,50.0,13:1,13.2
s0141,2.0,,,,,,1.6667,3.0714,7.0,,,,
s0142,393.0,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,2.4296,2.4054,421.0,890.0,60.0,15:1,14.833333333333334
s0143,465.0,,,,,,2.6935,2.3953,493.0,,,,
s0144,428.0,,,,,,2.2235,2.2525,431.0,,,,
s0145,245.0,,,,,,2.5245,2.2576,265.0,,,,
