SCHOOL,NUMBER OF CANDIDATES,SAT FOR EXAM,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,N,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO,GPA,1,7,3,8,9,6,4,2,5
s0100,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0101,197,196,GOVERNMENT,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,,1515,80,19:1,2.7577,5,,,,,,,,
s0102,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0103,471,467,,,,,,o,Not Available,Not Available,Not Available,2.7099,,,,,,,,,
s0104,131,131,,,,,,o,Not Available,Not Available,Not Available,2.7455,,,,,,,,,
s0105,169,169,,,,,,o,Not Available,Not Available,Not Available,2.1617,,,,,,,,,
s0106,8,8,,,,,,o,Not Available,Not Available,Not Available,2.7917,,,,,,,,,
s0107,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0108,282,280,GOVERNMENT,BOYS AND GIRLS,BOARDING,SCIENCE,COMBINED OA,,1000,80,13:1,2.7375,0,,,,,,,,
s0109,599,596,,,,,,o,Not Available,Not Available,Not Available,2.3356,,,,,,,,,
s0110,184,183,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,730,60,12:1,1.6548,,3,,,,,,,
s0111,7,7,,,,,,o,Not Available,Not Available,Not Available,3.3810,,,,,,,,,
s0112,203,194,,,,,,o,Not Available,Not Available,Not Available,2.7706,,,,,,,,,
s0113,22,22,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,300,30,10:1,2.7576,,,0,,,,,,
s0114,15,15,,,,,,o,Not Available,Not Available,Not Available,2.6889,,,,,,,,,
s0115,305,303,,,,,,o,Not Available,Not Available,Not Available,2.3421,,,,,,,,,
s0116,199,199,,,,,,o,Not Available,Not Available,Not Available,2.6265,,,,,,,,,
s0117,6,6,,,,,,o,Not Available,Not Available,Not Available,3.0833,,,,,,,,,
s0118,10,10,,,,,,o,Not Available,Not Available,Not Available,2.0667,,,,,,,,,
s0119,183,183,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,820,70,12:1,1.6384,,,,2,,,,,
s0120,463,463,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,,900,30,30:1,2.4669,,,,,0,,,,
s0121,23,23,,,,,,o,Not Available,Not Available,Not Available,2.4565,,,,,,,,,
s0122,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0123,315,311,,,,,,o,Not Available,Not Available,Not Available,1.9871,,,,,,,,,
s0124,6,6,,,,,,o,Not Available,Not Available,Not Available,2.8056,,,,,,,,,
s0125,441,441,,,,,,o,Not Available,Not Available,Not Available,2.4607,,,,,,,,,
s0126,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0127,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0128,168,168,,,,,,o,Not Available,Not Available,Not Available,2.1171,,,,,,,,,
s0129,317,315,,,,,,o,Not Available,Not Available,Not Available,2.4963,,,,,,,,,
s0130,36,36,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,300,30,10:1,2.2593,,,0,,,,,,
s0131,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0132,385,385,,,,,,o,Not Available,Not Available,Not Available,2.6355,,,,,,,,,
s0133,342,342,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,,800,40,20:1,2.5699,,,,0,,,,,
s0134,241,239,,,,,,o,Not Available,Not Available,Not Available,2.2957,,,,,,,,,
s0135,242,240,,,,,,o,Not Available,Not Available,Not Available,2.6299,,,,,,,,,
s0136,236,235,,,,,,o,Not Available,Not Available,Not Available,2.0184,,,,,,,,,
s0137,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0138,164,163,,,,,,o,Not Available,Not Available,Not Available,2.6554,,,,,,,,,
s0139,198,194,,,,,,o,Not Available,Not Available,Not Available,2.5430,,,,,,,,,
s0140,135,133,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,660,50,13:1,1.4749,,,,,,6,,,
s0141,2,2,,,,,,o,Not Available,Not Available,Not Available,1.6667,,,,,,,,,
s0142,396,393,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,,890,60,15:1,2.4296,,,,9,,,,,
s0143,468,465,,,,,,o,Not Available,Not Available,Not Available,2.6935,,,,,,,,,
s0144,429,428,,,,,,o,Not Available,Not Available,Not Available,2.2235,,,,,,,,,
s0145,245,245,,,,,,o,Not Available,Not Available,Not Available,2.5245,,,,,,,,,
s0146,24,24,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,400,25,16:1,3.0417,,,,,,,0,,
s0147,206,205,,,,,,o,Not Available,Not Available,Not Available,3.1364,,,,,,,,,
s0148,22,22,,,,,,o,Not Available,Not Available,Not Available,2.1970,,,,,,,,,
s0149,477,473,,,,,,o,Not Available,Not Available,Not Available,2.2530,,,,,,,,,
s0150,453,452,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,,850,35,24:1,2.6449,,,,5,,,,,
s0151,679,676,GOVERNMENT,BOYS ONLY,,MIXED,ALEVEL ONLY,,1200,50,24:1,2.2133,2,,,,,,,,
s0152,209,204,,,,,,o,Not Available,Not Available,Not Available,2.6242,,,,,,,,,
s0153,252,252,,,,,,o,Not Available,Not Available,Not Available,2.7037,,,,,,,,,
s0154,3,3,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,300,25,12:1,2.0556,,,0,,,,,,
s0155,109,109,,,,,,o,Not Available,Not Available,Not Available,1.4144,,,,,,,,,
s0156,77,76,GOVERNMENT,BOYS AND GIRLS,BOARDING,SCIENCE,COMBINED OA,,1070,69,16:1,2.8838,0,,,,,,,,
s0157,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0158,428,427,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,,1000,50,20:1,2.4161,0,,,,,,,,
s0159,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0160,281,281,,,,,,o,Not Available,Not Available,Not Available,2.2811,,,,,,,,,
s0161,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
