SCHOOL,NUMBER OF CANDIDATES,SAT FOR EXAM,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,TOTAL PASSED CANDIDATES,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO,GPA
s0101,197,196,GOVERNMENT,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,196,1515,80,19:1,2.7577
s0108,282,280,GOVERNMENT,BOYS AND GIRLS,BOARDING,SCIENCE,COMBINED OA,280,1000,80,13:1,2.7375
s0110,184,183,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,183,730,60,12:1,1.6548
s0113,22,22,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,22,300,30,10:1,2.7576
s0119,183,183,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,183,820,70,12:1,1.6384
s0120,463,463,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,463,900,30,30:1,2.4669
s0130,36,36,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,36,300,30,10:1,2.2593
s0133,342,342,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,341,800,40,20:1,2.5699
s0140,135,133,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,133,660,50,13:1,1.4749
s0142,396,393,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,393,890,60,15:1,2.4296
s0146,24,24,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,24,400,25,16:1,3.0417
s0150,453,452,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,452,850,35,24:1,2.6449
s0154,3,3,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,3,300,25,12:1,2.0556
s0156,77,76,GOVERNMENT,BOYS AND GIRLS,BOARDING,SCIENCE,COMBINED OA,76,1070,69,16:1,2.8838
