school_code,school_name,enlorment,student_teacher_ratio,location,gpa
s3470,ABBEY SECONDARY SCHOOL,11,12:01,Rural,2.8788
s0784,AIRWING SECONDARY SCHOOL,97,16:01,Urban,2.8927
s3914,ALFAGEMS SECONDARY SCHOOL,299,35:01:00,Rural,3.0131
s3532,ACACIA SECONDARY SCHOOL,37,13:01,Urban,2.3796
s0182,AL-FAROUQ SEMINARY,13,09:01,Rural,3.0513
s4217,ALGEBRA ISLAMIC SEMINARY,27,17:01,Urban,2.6296
s4502,AFRICAN TABATA HIGH SCHOOL,30,10:01,Urban,3.2083
s2153,AQUINAS SECONDARY SCHOOL,42,25:01:00,Urban,2.4008
s0184,AGAPE LUTHERAN JUNIOR SEMINARY,76,17:01,Rural,2.0373
s1523,AGAPE MBAGALA SECONDARY SCHOOL,4,13:01,Urban,3.2917
s4007,AGUSTIVO SECONDARY SCHOOL,16,15:01,Rural,2.4792
s1519,ARUSHA TURKISH MAARIF SECONDARY SCHOOL,34,12:01,Urban,2.402
s4645,ALLIANCE BOYS' SECONDARY SCHOOL,7,13:01,Rural,2.3611
s3881,AHMES SECONDARY SCHOOL,121,11:01,Urban,1.5084
s4836,ALLIANCE GIRLS SECONDARY SCHOOL,9,17:01,Rural,2.9444
s2378,AIRPORT SECONDARY SCHOOL,46,18:01,Urban,2.3651
s0101,AZANIA SECONDARY SCHOOL,159,19:01,Urban,3.0222
s2549,ALPHA SECONDARY SCHOOL,138,12:01,Urban,2.5362
s0351,BAGAMOYO SECONDARY SCHOOL,442,23:01,Rural,2.6951
s0948,BUMANGI SECONDARY SCHOOL,100,17:01,Rural,2.035
s1599,BAOBAB SECONDARY SCHOOL,309,11:01,Urban,2.377
s0264,BARBRO-JOHANSSON SECONDARY SCHOOL,106,16:01,Urban,2.2374
s1757,BENDEL MEMORIAL SECONDARY SCHOOL,100,13:01,Rural,2.7626
s0960,BENJAMIN WILLIAM MKAPA HIGH SCHOOL,405,20:01,Urban,3.1348
s0235,BUKUMBI SECONDARY SCHOOL,13,13:01,Rural,2.5
s0305,BULUBA SECONDARY SCHOOL,52,16:01,Rural,3.2981
s0202,BWIRU GIRLS' SECONDARY SCHOOL,438,20:01,Urban,2.414
s4619,CALL AND VISION SECONDARY SCHOOL,15,14:01,Rural,2.8889
s0686,CHATO SECONDARY SCHOOL,211,25:01:00,Rural,2.3349
s2325,CANOSSA SECONDARY SCHOOL,167,14:01,Urban,1.7984
s0419,CHOME SECONDARY SCHOOL,8,18:01,Rural,1.9792
s0883,DONBOSCO-DIDIA SECONDARY SCHOOL,23,12:01,Rural,3.2971
s0668,DAKAWA HIGH SCHOOL,224,14:01,Rural,2.572
s0308,ENABOISHU SECONDARY SCHOOL,71,16:01,Rural,2.1549
s0629,EDMUND-RICE-SINON SECONDARY SCHOOL,120,17:01,Urban,3.0472
s1450,EFATHA SEMINARY,102,15:01,Rural,2.9281
s0189,FEZA BOYS' SECONDARY SCHOOL,86,11:01,Urban,1.6705
