SCHOOL_NO,SCHOOL_NAME,NUMBER OF CANDIDATES,ABSENT,SAT FOR EXAM,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,PERFORMANCE,GPA
s0001,School 0001,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0002,School 0002,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0003,School 0003,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0004,School 0004,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0005,School 0005,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0006,School 0006,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0007,School 0007,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0008,School 0008,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0009,School 0009,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0010,School 0010,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0011,School 0011,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0012,School 0012,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0013,School 0013,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0014,School 0014,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0015,School 0015,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0016,School 0016,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0017,School 0017,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0018,School 0018,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0019,School 0019,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0020,School 0020,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0021,School 0021,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0022,School 0022,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0023,School 0023,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0024,School 0024,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0025,School 0025,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0026,School 0026,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0027,School 0027,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
