SCHOOL,NUMBER OF CANDIDATES,SAT FOR EXAM,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,TOTAL PASSED CANDIDATES,GPA
s0101,197,196,GOVERNMENT,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,196,2.7577
s0108,282,280,GOVERNMENT,BOYS AND GIRLS,BOARDING,SCIENCE,COMBINED OA,280,2.7375
s0110,184,183,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,183,1.6548
s0113,22,22,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,22,2.7576
s0119,183,183,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,183,1.6384
s0120,463,463,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,463,2.4669
s0130,36,36,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,36,2.2593
s0133,342,342,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,341,2.5699
s0140,135,133,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,133,1.4749
s0142,396,393,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,393,2.4296
s0146,24,24,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,24,3.0417
s0150,453,452,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,452,2.6449
s0154,3,3,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,3,2.0556
s0156,77,76,GOVERNMENT,BOYS AND GIRLS,BOARDING,SCIENCE,COMBINED OA,76,2.8838
s0158,428,427,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,427,2.4161
s0165,17,17,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,17,2.0392
s0167,20,19,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,19,2.9386
s0168,39,39,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,39,2.1709
s0181,4,4,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,4,2.8333
s0182,34,33,PRIVATE,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,33,3.0101
s0184,31,30,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,30,1.6222
s0188,88,88,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,88,2.9242
s0189,85,85,PRIVATE,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,85,1.8216
s0197,11,11,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,11,3.6364
s0202,476,476,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,ALEVEL ONLY,476,2.5826
s0203,290,290,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,289,2.9782
s0204,157,156,GOVERNMENT,GIRLS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,156,3.1560
s0205,35,35,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,35,2.7619
s0206,100,100,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,100,2.0217
s0209,387,386,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,386,2.8614
s0214,145,145,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,145,1.6425
s0220,122,122,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,122,1.9699
s0224,41,41,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,41,1.9472
s0228,386,385,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,ALEVEL ONLY,385,2.6671
s0233,286,286,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,286,1.7931
s0234,10,10,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,10,3.5000
s0235,10,10,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,10,2.8167
s0241,28,27,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,27,3.0864
s0248,81,81,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,81,1.9342
s0249,40,40,PRIVATE,GIRLS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,40,2.6333
s0255,140,140,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,140,2.0845
s0256,40,40,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,40,2.7625
s0263,83,83,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,83,2.3173
s0264,82,82,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,82,2.6667
s0276,323,321,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,ALEVEL ONLY,320,3.0218
s0298,76,76,PRIVATE,GIRLS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,76,1.9561
s0305,29,27,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,27,3.1667
s0308,65,65,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,65,2.5513
s0313,81,80,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,80,2.6563
s0332,291,289,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,289,2.4273
s0333,371,370,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,370,2.7766
s0335,14,14,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,13,3.9881
s0342,59,59,PRIVATE,BOYS AND GIRLS,DAY,MIXED,COMBINED OA,59,3.1271
s0345,188,187,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,185,3.3877
s0347,392,390,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,MIXED,ALEVEL ONLY,388,3.1679
s0351,383,377,GOVERNMENT,BOYS AND GIRLS,BOARDING,MIXED,ALEVEL ONLY,377,2.5115
s0361,44,40,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,40,2.9583
s0364,474,474,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,474,2.6188
s0370,291,291,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,ALEVEL ONLY,291,2.9805
